Array,Pool,Pool ID,Density,Day,Rafts,Date
7,1,7.1,770,4,1,9/26/2017
7,2,7.2,330,4,1,9/26/2017
7,3,7.3,0,4,21,9/26/2017
7,4,7.4,550,4,6,9/26/2017
7,1,7.1,770,5,14,9/27/2017
7,2,7.2,330,5,4,9/27/2017
7,3,7.3,0,5,6,9/27/2017
7,4,7.4,550,5,15,9/27/2017
8,1,8.1,550,1,4,9/25/2017
8,2,8.2,330,1,0,9/25/2017
8,3,8.3,0,1,48,9/25/2017
8,4,8.4,770,1,6,9/25/2017
8,1,8.1,550,2,35,9/26/2017
8,2,8.2,330,2,22,9/26/2017
8,3,8.3,0,2,27,9/26/2017
8,4,8.4,770,2,16,9/26/2017
8,1,8.1,550,3,17,9/27/2017
8,2,8.2,330,3,5,9/27/2017
8,3,8.3,0,3,34,9/27/2017
8,4,8.4,770,3,6,9/27/2017
8,1,8.1,550,4,9,9/28/2017
8,2,8.2,330,4,12,9/28/2017
8,3,8.3,0,4,25,9/28/2017
8,4,8.4,770,4,5,9/28/2017
8,1,8.1,550,5,3,9/29/2017
8,2,8.2,330,5,9,9/29/2017
8,3,8.3,0,5,9,9/29/2017
8,4,8.4,770,5,9,9/29/2017
9,1,9.1,770,1,5,9/25/2017
9,2,9.2,550,1,4,9/25/2017
9,3,9.3,0,1,70,9/25/2017
9,4,9.4,330,1,4,9/25/2017
9,1,9.1,770,2,28,9/26/2017
9,2,9.2,550,2,22,9/26/2017
9,3,9.3,0,2,29,9/26/2017
9,4,9.4,330,2,48,9/26/2017
9,1,9.1,770,3,33,9/27/2017
9,2,9.2,550,3,5,9/27/2017
9,3,9.3,0,3,50,9/27/2017
9,4,9.4,330,3,65,9/27/2017
9,1,9.1,770,4,24,9/28/2017
9,2,9.2,550,4,21,9/28/2017
9,3,9.3,0,4,60,9/28/2017
9,4,9.4,330,4,102,9/28/2017
9,1,9.1,770,5,6,9/29/2017
9,2,9.2,550,5,8,9/29/2017
